SampleID,MachineID,BatchNumber,DateTime,Origin,RoastProfile,BatchesSinceMaint,MaintenanceCycle,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,TotalScore,Grade
ROASTER_01_B0007_S5,ROASTER_01,7,2024-01-06 04:00:00,Ethiopia,Light,7,0,8.7,7.65,8.41,7.34,7.94,7.48,47.52,Premium
ROASTER_01_B0008_S1,ROASTER_01,8,2024-01-06 06:00:00,Colombia,Medium,8,0,8.12,7.15,7.99,8.06,7.72,7.14,46.18,Premium
ROASTER_01_B0008_S2,ROASTER_01,8,2024-01-06 06:00:00,Colombia,Medium,8,0,7.96,7.58,7.81,7.47,7.73,8.11,46.66,Premium
ROASTER_01_B0008_S3,ROASTER_01,8,2024-01-06 06:00:00,Colombia,Medium,8,0,7.65,7.17,7.4,7.26,7.54,7.95,44.97,Premium
ROASTER_01_B0008_S4,ROASTER_01,8,2024-01-06 06:00:00,Colombia,Medium,8,0,8.01,7.42,7.46,8.35,6.94,7.61,45.79,Premium
ROASTER_01_B0008_S5,ROASTER_01,8,2024-01-06 06:00:00,Colombia,Medium,8,0,8.08,7.25,7.83,7.28,7.5,7.1,45.04,Premium
ROASTER_01_B0009_S1,ROASTER_01,9,2024-01-06 09:00:00,Guatemala,Light,9,0,8.78,7.54,7.63,8.58,6.93,6.63,46.09,Premium
ROASTER_01_B0009_S2,ROASTER_01,9,2024-01-06 09:00:00,Guatemala,Light,9,0,8.76,6.94,7.49,7.67,7.13,7.24,45.23,Premium
ROASTER_01_B0009_S3,ROASTER_01,9,2024-01-06 09:00:00,Guatemala,Light,9,0,7.85,7.22,7.74,8.2,6.89,7.09,44.99,Premium
ROASTER_01_B0009_S4,ROASTER_01,9,2024-01-06 09:00:00,Guatemala,Light,9,0,7.51,6.77,7.68,7.88,7.02,6.99,43.85,Premium
ROASTER_01_B0009_S5,ROASTER_01,9,2024-01-06 09:00:00,Guatemala,Light,9,0,7.76,7.43,7.81,8.47,6.38,7.3,45.15,Premium
ROASTER_01_B0010_S1,ROASTER_01,10,2024-01-06 12:00:00,Guatemala,Espresso,10,0,7.59,7.37,8.08,7.66,7.67,7.44,45.81,Premium
ROASTER_01_B0010_S2,ROASTER_01,10,2024-01-06 12:00:00,Guatemala,Espresso,10,0,7.9,7.47,8.0,8.07,8.26,6.48,46.18,Premium
ROASTER_01_B0010_S3,ROASTER_01,10,2024-01-06 12:00:00,Guatemala,Espresso,10,0,7.78,7.01,7.07,7.91,8.48,7.62,45.87,Premium
ROASTER_01_B0010_S4,ROASTER_01,10,2024-01-06 12:00:00,Guatemala,Espresso,10,0,7.92,7.26,8.26,7.25,7.31,7.69,45.69,Premium
ROASTER_01_B0010_S5,ROASTER_01,10,2024-01-06 12:00:00,Guatemala,Espresso,10,0,8.28,7.57,7.76,8.03,8.41,7.2,47.25,Premium
ROASTER_01_B0011_S1,ROASTER_01,11,2024-01-06 15:00:00,Colombia,Medium,11,0,7.7,8.02,8.35,7.46,7.36,7.33,46.22,Premium
ROASTER_01_B0011_S2,ROASTER_01,11,2024-01-06 15:00:00,Colombia,Medium,11,0,7.91,7.05,7.66,7.58,7.96,7.28,45.44,Premium
ROASTER_01_B0011_S3,ROASTER_01,11,2024-01-06 15:00:00,Colombia,Medium,11,0,6.84,7.72,7.68,7.86,7.13,7.26,44.49,Premium
ROASTER_01_B0011_S4,ROASTER_01,11,2024-01-06 15:00:00,Colombia,Medium,11,0,7.94,7.88,7.48,7.14,6.76,7.59,44.79,Premium
ROASTER_01_B0011_S5,ROASTER_01,11,2024-01-06 15:00:00,Colombia,Medium,11,0,8.43,7.76,7.49,8.12,7.65,8.01,47.46,Premium
ROASTER_01_B0012_S1,ROASTER_01,12,2024-01-06 17:00:00,Kenya,Dark,12,0,7.35,7.4,8.35,7.44,7.96,7.08,45.58,Premium
ROASTER_01_B0012_S2,ROASTER_01,12,2024-01-06 17:00:00,Kenya,Dark,12,0,7.79,7.68,7.94,7.25,8.13,7.15,45.94,Premium
ROASTER_01_B0012_S3,ROASTER_01,12,2024-01-06 17:00:00,Kenya,Dark,12,0,8.17,7.43,7.32,7.11,7.98,7.02,45.03,Premium
ROASTER_01_B0012_S4,ROASTER_01,12,2024-01-06 17:00:00,Kenya,Dark,12,0,7.98,7.3,8.03,7.52,7.9,7.06,45.79,Premium
ROASTER_01_B0012_S5,ROASTER_01,12,2024-01-06 17:00:00,Kenya,Dark,12,0,7.68,7.39,7.89,7.13,7.88,7.09,45.06,Premium
ROASTER_01_B0013_S1,ROASTER_01,13,2024-01-06 20:00:00,Colombia,Espresso,13,0,8.85,7.1,7.95,7.12,7.97,6.91,45.9,Premium
ROASTER_01_B0013_S2,ROASTER_01,13,2024-01-06 20:00:00,Colombia,Espresso,13,0,7.44,7.53,7.66,8.04,8.1,7.11,45.88,Premium
ROASTER_01_B0013_S3,ROASTER_01,13,2024-01-06 20:00:00,Colombia,Espresso,13,0,7.92,6.99,7.78,7.46,8.62,6.68,45.45,Premium
ROASTER_01_B0013_S4,ROASTER_01,13,2024-01-06 20:00:00,Colombia,Espresso,13,0,8.31,7.16,7.54,7.03,8.38,7.6,46.02,Premium
ROASTER_01_B0013_S5,ROASTER_01,13,2024-01-06 20:00:00,Colombia,Espresso,13,0,8.65,7.29,7.37,7.75,8.13,7.55,46.74,Premium
ROASTER_01_B0014_S1,ROASTER_01,14,2024-01-07 01:00:00,Brazil,Medium,14,0,8.36,7.22,7.98,7.02,7.44,7.7,45.72,Premium
ROASTER_01_B0014_S2,ROASTER_01,14,2024-01-07 01:00:00,Brazil,Medium,14,0,8.24,6.7,7.82,7.59,7.54,7.25,45.14,Premium
ROASTER_01_B0014_S3,ROASTER_01,14,2024-01-07 01:00:00,Brazil,Medium,14,0,7.33,7.07,7.35,6.9,7.67,7.02,43.34,Premium
ROASTER_01_B0014_S4,ROASTER_01,14,2024-01-07 01:00:00,Brazil,Medium,14,0,7.45,7.31,7.78,7.78,7.37,7.65,45.34,Premium
ROASTER_01_B0014_S5,ROASTER_01,14,2024-01-07 01:00:00,Brazil,Medium,14,0,7.78,7.2,8.08,7.25,8.06,7.06,45.43,Premium
ROASTER_01_B0015_S1,ROASTER_01,15,2024-01-07 03:00:00,Ethiopia,Espresso,15,0,8.73,6.59,7.57,7.56,8.26,6.91,45.62,Premium
ROASTER_01_B0015_S2,ROASTER_01,15,2024-01-07 03:00:00,Ethiopia,Espresso,15,0,8.08,7.72,8.7,7.97,8.57,7.36,48.4,Specialty
ROASTER_01_B0015_S3,ROASTER_01,15,2024-01-07 03:00:00,Ethiopia,Espresso,15,0,8.06,6.94,7.82,7.91,8.22,7.3,46.25,Premium
ROASTER_01_B0015_S4,ROASTER_01,15,2024-01-07 03:00:00,Ethiopia,Espresso,15,0,8.01,7.18,7.73,7.53,8.29,7.39,46.13,Premium
ROASTER_01_B0015_S5,ROASTER_01,15,2024-01-07 03:00:00,Ethiopia,Espresso,15,0,8.12,7.47,8.28,7.82,8.85,7.14,47.68,Premium
ROASTER_01_B0016_S1,ROASTER_01,16,2024-01-07 05:00:00,Brazil,Dark,16,0,7.1,6.73,7.96,7.81,7.48,7.15,44.23,Premium
ROASTER_01_B0016_S2,ROASTER_01,16,2024-01-07 05:00:00,Brazil,Dark,16,0,7.65,7.36,7.23,7.18,7.99,7.21,44.62,Premium
ROASTER_01_B0016_S3,ROASTER_01,16,2024-01-07 05:00:00,Brazil,Dark,16,0,7.72,7.49,7.83,6.99,8.24,6.74,45.01,Premium
ROASTER_01_B0016_S4,ROASTER_01,16,2024-01-07 05:00:00,Brazil,Dark,16,0,7.65,6.66,7.35,6.84,7.78,6.97,43.25,Premium
ROASTER_01_B0016_S5,ROASTER_01,16,2024-01-07 05:00:00,Brazil,Dark,16,0,7.5,7.78,7.66,7.42,7.65,6.9,44.91,Premium
ROASTER_01_B0017_S1,ROASTER_01,17,2024-01-07 08:00:00,Guatemala,Espresso,17,0,7.82,7.28,7.74,7.51,8.73,6.84,45.92,Premium
ROASTER_01_B0017_S2,ROASTER_01,17,2024-01-07 08:00:00,Guatemala,Espresso,17,0,8.45,7.59,8.33,7.88,7.76,6.82,46.83,Premium
ROASTER_01_B0017_S3,ROASTER_01,17,2024-01-07 08:00:00,Guatemala,Espresso,17,0,8.47,7.55,7.49,7.84,8.1,6.88,46.33,Premium
ROASTER_01_B0017_S4,ROASTER_01,17,2024-01-07 08:00:00,Guatemala,Espresso,17,0,7.7,6.7,7.27,7.35,8.02,7.45,44.49,Premium
ROASTER_01_B0017_S5,ROASTER_01,17,2024-01-07 08:00:00,Guatemala,Espresso,17,0,8.37,8.21,8.6,7.28,8.72,7.54,48.72,Specialty
ROASTER_01_B0018_S1,ROASTER_01,18,2024-01-07 13:00:00,Brazil,Medium,18,0,7.59,7.89,7.65,7.54,6.86,7.52,45.05,Premium
ROASTER_01_B0018_S2,ROASTER_01,18,2024-01-07 13:00:00,Brazil,Medium,18,0,7.05,7.04,7.76,7.49,7.55,6.83,43.72,Premium
ROASTER_01_B0018_S3,ROASTER_01,18,2024-01-07 13:00:00,Brazil,Medium,18,0,7.1,7.49,7.58,7.35,7.86,7.7,45.08,Premium
ROASTER_01_B0018_S4,ROASTER_01,18,2024-01-07 13:00:00,Brazil,Medium,18,0,8.05,7.31,7.45,7.37,7.11,7.38,44.67,Premium
ROASTER_01_B0018_S5,ROASTER_01,18,2024-01-07 13:00:00,Brazil,Medium,18,0,7.5,7.46,7.84,7.45,7.18,7.2,44.63,Premium
ROASTER_01_B0019_S1,ROASTER_01,19,2024-01-07 16:00:00,Colombia,Light,19,0,8.32,7.26,8.17,8.16,8.02,7.47,47.4,Premium
ROASTER_01_B0019_S2,ROASTER_01,19,2024-01-07 16:00:00,Colombia,Light,19,0,8.69,7.24,8.07,7.98,7.36,7.38,46.72,Premium
ROASTER_01_B0019_S3,ROASTER_01,19,2024-01-07 16:00:00,Colombia,Light,19,0,8.7,7.39,7.92,8.36,7.49,7.18,47.04,Premium
ROASTER_01_B0019_S4,ROASTER_01,19,2024-01-07 16:00:00,Colombia,Light,19,0,8.08,6.66,8.12,7.32,6.85,7.89,44.92,Premium
ROASTER_01_B0019_S5,ROASTER_01,19,2024-01-07 16:00:00,Colombia,Light,19,0,8.37,7.5,7.52,7.3,8.1,7.73,46.52,Premium
ROASTER_01_B0020_S1,ROASTER_01,20,2024-01-07 18:00:00,Colombia,Espresso,20,0,8.02,7.32,7.6,6.98,8.17,6.7,44.79,Premium
ROASTER_01_B0020_S2,ROASTER_01,20,2024-01-07 18:00:00,Colombia,Espresso,20,0,8.63,6.77,7.73,7.26,8.6,7.05,46.04,Premium
ROASTER_01_B0020_S3,ROASTER_01,20,2024-01-07 18:00:00,Colombia,Espresso,20,0,8.42,7.1,7.97,7.88,8.0,7.08,46.45,Premium
ROASTER_01_B0020_S4,ROASTER_01,20,2024-01-07 18:00:00,Colombia,Espresso,20,0,8.3,7.33,7.89,7.57,8.38,7.11,46.58,Premium
ROASTER_01_B0020_S5,ROASTER_01,20,2024-01-07 18:00:00,Colombia,Espresso,20,0,8.44,7.28,7.79,8.13,7.59,7.29,46.52,Premium
ROASTER_01_B0021_S1,ROASTER_01,21,2024-01-07 21:00:00,Ethiopia,Medium,21,0,8.65,6.66,8.16,7.5,7.75,7.62,46.34,Premium
ROASTER_01_B0021_S2,ROASTER_01,21,2024-01-07 21:00:00,Ethiopia,Medium,21,0,7.79,6.94,8.06,8.13,7.59,7.52,46.03,Premium
ROASTER_01_B0021_S3,ROASTER_01,21,2024-01-07 21:00:00,Ethiopia,Medium,21,0,7.78,7.17,7.8,7.07,7.43,7.75,45.0,Premium
ROASTER_01_B0021_S4,ROASTER_01,21,2024-01-07 21:00:00,Ethiopia,Medium,21,0,7.87,6.78,7.15,7.72,7.51,7.74,44.77,Premium
ROASTER_01_B0021_S5,ROASTER_01,21,2024-01-07 21:00:00,Ethiopia,Medium,21,0,8.25,7.25,7.51,7.09,7.34,7.63,45.07,Premium
ROASTER_01_B0022_S1,ROASTER_01,22,2024-01-08 00:00:00,Guatemala,Medium,22,0,7.9,7.39,7.94,7.7,7.42,7.2,45.55,Premium
ROASTER_01_B0022_S2,ROASTER_01,22,2024-01-08 00:00:00,Guatemala,Medium,22,0,7.72,7.39,8.14,7.71,7.95,7.15,46.06,Premium
ROASTER_01_B0022_S3,ROASTER_01,22,2024-01-08 00:00:00,Guatemala,Medium,22,0,7.35,7.16,7.84,7.63,7.04,7.1,44.12,Premium
ROASTER_01_B0022_S4,ROASTER_01,22,2024-01-08 00:00:00,Guatemala,Medium,22,0,7.49,8.09,7.95,7.53,7.17,7.33,45.56,Premium
ROASTER_01_B0022_S5,ROASTER_01,22,2024-01-08 00:00:00,Guatemala,Medium,22,0,7.78,7.75,7.71,6.98,6.96,6.7,43.88,Premium
ROASTER_01_B0023_S1,ROASTER_01,23,2024-01-08 03:00:00,Kenya,Light,23,0,8.13,7.21,7.96,7.91,7.06,7.08,45.35,Premium
ROASTER_01_B0023_S2,ROASTER_01,23,2024-01-08 03:00:00,Kenya,Light,23,0,7.81,7.5,7.08,7.38,7.49,7.37,44.63,Premium
ROASTER_01_B0023_S3,ROASTER_01,23,2024-01-08 03:00:00,Kenya,Light,23,0,7.62,7.48,8.53,8.34,7.2,6.91,46.08,Premium
ROASTER_01_B0023_S4,ROASTER_01,23,2024-01-08 03:00:00,Kenya,Light,23,0,8.55,7.28,7.84,8.12,6.8,7.69,46.28,Premium
ROASTER_01_B0023_S5,ROASTER_01,23,2024-01-08 03:00:00,Kenya,Light,23,0,7.96,7.27,7.8,8.54,6.89,7.15,45.61,Premium
ROASTER_01_B0024_S1,ROASTER_01,24,2024-01-08 06:00:00,Ethiopia,Light,24,0,8.52,7.09,7.61,8.41,8.22,7.21,47.06,Premium
ROASTER_01_B0024_S2,ROASTER_01,24,2024-01-08 06:00:00,Ethiopia,Light,24,0,8.02,6.94,7.63,8.33,7.33,7.47,45.72,Premium
ROASTER_01_B0024_S3,ROASTER_01,24,2024-01-08 06:00:00,Ethiopia,Light,24,0,8.01,7.14,7.59,8.05,7.36,7.9,46.05,Premium
ROASTER_01_B0024_S4,ROASTER_01,24,2024-01-08 06:00:00,Ethiopia,Light,24,0,8.21,7.03,7.28,8.58,7.22,7.66,45.98,Premium
ROASTER_01_B0024_S5,ROASTER_01,24,2024-01-08 06:00:00,Ethiopia,Light,24,0,7.84,7.84,8.16,7.79,7.7,7.48,46.81,Premium
ROASTER_01_B0025_S1,ROASTER_01,25,2024-01-08 09:00:00,Brazil,Dark,25,0,7.4,7.46,7.68,7.62,8.01,6.41,44.58,Premium
ROASTER_01_B0025_S2,ROASTER_01,25,2024-01-08 09:00:00,Brazil,Dark,25,0,7.37,7.58,7.32,6.96,6.96,7.24,43.43,Premium
ROASTER_01_B0025_S3,ROASTER_01,25,2024-01-08 09:00:00,Brazil,Dark,25,0,7.54,7.11,7.39,7.96,7.5,7.5,45.0,Premium
ROASTER_01_B0025_S4,ROASTER_01,25,2024-01-08 09:00:00,Brazil,Dark,25,0,7.93,6.76,7.42,6.95,8.05,6.95,44.06,Premium
ROASTER_01_B0025_S5,ROASTER_01,25,2024-01-08 09:00:00,Brazil,Dark,25,0,7.56,6.69,7.96,7.28,7.71,7.85,45.05,Premium
ROASTER_01_B0026_S1,ROASTER_01,26,2024-01-08 12:00:00,Ethiopia,Dark,26,0,8.21,7.36,8.04,7.11,8.01,6.42,45.15,Premium
ROASTER_01_B0026_S2,ROASTER_01,26,2024-01-08 12:00:00,Ethiopia,Dark,26,0,8.36,7.27,7.83,7.59,7.55,7.37,45.97,Premium
ROASTER_01_B0026_S3,ROASTER_01,26,2024-01-08 12:00:00,Ethiopia,Dark,26,0,7.5,7.61,7.66,7.26,7.29,7.4,44.72,Premium
ROASTER_01_B0026_S4,ROASTER_01,26,2024-01-08 12:00:00,Ethiopia,Dark,26,0,8.17,7.23,7.9,7.24,8.1,7.4,46.04,Premium
ROASTER_01_B0026_S5,ROASTER_01,26,2024-01-08 12:00:00,Ethiopia,Dark,26,0,7.63,7.15,7.92,8.3,7.96,7.79,46.75,Premium
ROASTER_01_B0027_S1,ROASTER_01,27,2024-01-08 15:00:00,Colombia,Light,27,0,8.03,7.14,7.96,7.95,7.22,7.17,45.47,Premium
ROASTER_01_B0027_S2,ROASTER_01,27,2024-01-08 15:00:00,Colombia,Light,27,0,8.37,7.41,8.3,7.94,6.98,7.31,46.31,Premium
ROASTER_01_B0027_S3,ROASTER_01,27,2024-01-08 15:00:00,Colombia,Light,27,0,8.51,6.99,7.2,8.29,6.6,6.87,44.46,Premium
ROASTER_01_B0027_S4,ROASTER_01,27,2024-01-08 15:00:00,Colombia,Light,27,0,7.62,7.47,7.26,7.77,7.47,7.4,44.99,Premium
ROASTER_01_B0027_S5,ROASTER_01,27,2024-01-08 15:00:00,Colombia,Light,27,0,7.97,7.41,7.52,7.89,7.52,7.18,45.49,Premium
ROASTER_01_B0028_S1,ROASTER_01,28,2024-01-08 18:00:00,Brazil,Espresso,28,0,7.8,7.14,7.6,7.21,7.78,7.08,44.61,Premium
ROASTER_01_B0028_S2,ROASTER_01,28,2024-01-08 18:00:00,Brazil,Espresso,28,0,7.25,7.31,7.12,7.31,7.36,7.15,43.5,Premium
ROASTER_01_B0028_S3,ROASTER_01,28,2024-01-08 18:00:00,Brazil,Espresso,28,0,7.99,6.97,7.87,7.61,7.81,6.77,45.02,Premium
ROASTER_01_B0028_S4,ROASTER_01,28,2024-01-08 18:00:00,Brazil,Espresso,28,0,7.77,6.89,7.6,7.03,7.95,7.15,44.39,Premium
ROASTER_01_B0028_S5,ROASTER_01,28,2024-01-08 18:00:00,Brazil,Espresso,28,0,7.92,7.41,6.86,6.82,7.54,7.26,43.81,Premium
ROASTER_01_B0029_S1,ROASTER_01,29,2024-01-08 20:00:00,Ethiopia,Espresso,29,0,8.14,7.39,8.03,7.71,8.23,7.27,46.77,Premium
ROASTER_01_B0029_S2,ROASTER_01,29,2024-01-08 20:00:00,Ethiopia,Espresso,29,0,7.87,6.75,7.58,7.69,8.42,7.61,45.92,Premium
ROASTER_01_B0029_S3,ROASTER_01,29,2024-01-08 20:00:00,Ethiopia,Espresso,29,0,8.22,7.3,7.7,7.88,8.32,8.03,47.45,Premium
ROASTER_01_B0029_S4,ROASTER_01,29,2024-01-08 20:00:00,Ethiopia,Espresso,29,0,7.44,7.75,8.22,7.95,8.83,7.15,47.34,Premium
ROASTER_01_B0029_S5,ROASTER_01,29,2024-01-08 20:00:00,Ethiopia,Espresso,29,0,7.84,6.82,8.07,8.11,8.82,7.23,46.89,Premium
ROASTER_01_B0030_S1,ROASTER_01,30,2024-01-08 23:00:00,Kenya,Espresso,30,1,8.08,6.27,8.45,6.45,8.66,7.62,45.53,Premium
ROASTER_01_B0030_S2,ROASTER_01,30,2024-01-08 23:00:00,Kenya,Espresso,30,1,8.08,6.32,7.44,7.49,8.37,7.51,45.21,Premium
ROASTER_01_B0030_S3,ROASTER_01,30,2024-01-08 23:00:00,Kenya,Espresso,30,1,7.94,7.63,8.12,7.51,8.18,7.6,46.98,Premium
ROASTER_01_B0030_S4,ROASTER_01,30,2024-01-08 23:00:00,Kenya,Espresso,30,1,8.08,7.72,7.75,7.79,7.38,7.39,46.11,Premium
ROASTER_01_B0030_S5,ROASTER_01,30,2024-01-08 23:00:00,Kenya,Espresso,30,1,8.74,7.58,7.52,7.42,8.46,7.6,47.32,Premium
ROASTER_01_B0031_S1,ROASTER_01,31,2024-01-09 04:00:00,Brazil,Light,1,1,8.15,7.05,8.01,7.69,7.26,6.88,45.04,Premium
ROASTER_01_B0031_S2,ROASTER_01,31,2024-01-09 04:00:00,Brazil,Light,1,1,8.24,6.66,8.01,7.81,7.04,6.72,44.48,Premium
ROASTER_01_B0031_S3,ROASTER_01,31,2024-01-09 04:00:00,Brazil,Light,1,1,7.58,7.0,7.28,8.15,6.91,7.29,44.21,Premium
ROASTER_01_B0031_S4,ROASTER_01,31,2024-01-09 04:00:00,Brazil,Light,1,1,8.26,6.84,7.32,7.8,7.24,6.36,43.82,Premium
ROASTER_01_B0031_S5,ROASTER_01,31,2024-01-09 04:00:00,Brazil,Light,1,1,7.7,7.1,6.92,6.84,7.17,6.93,42.66,Premium
ROASTER_01_B0032_S1,ROASTER_01,32,2024-01-09 06:00:00,Guatemala,Light,2,1,7.77,6.99,8.23,8.12,6.71,6.54,44.36,Premium
ROASTER_01_B0032_S2,ROASTER_01,32,2024-01-09 06:00:00,Guatemala,Light,2,1,8.14,7.09,7.43,8.34,7.47,7.91,46.38,Premium
ROASTER_01_B0032_S3,ROASTER_01,32,2024-01-09 06:00:00,Guatemala,Light,2,1,7.63,7.04,7.29,8.37,7.15,7.07,44.55,Premium
ROASTER_01_B0032_S4,ROASTER_01,32,2024-01-09 06:00:00,Guatemala,Light,2,1,7.75,7.24,7.99,7.34,7.25,6.68,44.25,Premium
ROASTER_01_B0032_S5,ROASTER_01,32,2024-01-09 06:00:00,Guatemala,Light,2,1,8.78,7.46,8.13,8.25,7.36,7.83,47.81,Premium
ROASTER_01_B0033_S1,ROASTER_01,33,2024-01-09 10:00:00,Colombia,Espresso,3,1,8.75,7.66,7.96,7.87,8.05,7.24,47.53,Premium
ROASTER_01_B0033_S2,ROASTER_01,33,2024-01-09 10:00:00,Colombia,Espresso,3,1,7.86,7.56,7.84,8.2,8.62,7.44,47.52,Premium
ROASTER_01_B0033_S3,ROASTER_01,33,2024-01-09 10:00:00,Colombia,Espresso,3,1,7.62,7.22,7.57,7.53,7.64,7.56,45.14,Premium
ROASTER_01_B0033_S4,ROASTER_01,33,2024-01-09 10:00:00,Colombia,Espresso,3,1,7.6,7.58,7.78,7.58,8.3,7.73,46.57,Premium
